time,value
2025-01-06T04:12:44.548669376Z,246
2025-01-06T04:12:54.734434703Z,244
2025-01-06T04:13:04.923968988Z,246
2025-01-06T04:13:15.115885792Z,246
2025-01-06T04:13:25.305767904Z,246
2025-01-06T04:13:35.496163468Z,242
2025-01-06T04:13:45.69197877Z,261
2025-01-06T04:13:55.885341758Z,262
2025-01-06T04:14:06.073469445Z,262
2025-01-06T04:14:16.261825247Z,261
2025-01-06T04:14:26.450374053Z,261
2025-01-06T04:14:36.639818389Z,259
2025-01-06T04:14:46.837877774Z,259
2025-01-06T04:14:57.018386811Z,259
2025-01-06T04:15:07.20666032Z,257
2025-01-06T04:15:17.398256838Z,257
2025-01-06T04:15:27.594060533Z,256
2025-01-06T04:15:37.778397106Z,256
2025-01-06T04:15:47.973961013Z,256
2025-01-06T04:15:58.164208581Z,256
2025-01-06T04:16:08.356359272Z,254
2025-01-06T04:16:18.548439459Z,254
2025-01-06T04:16:28.737551267Z,254
2025-01-06T04:16:38.927758172Z,254
2025-01-06T04:16:49.123037856Z,252
2025-01-06T04:16:59.312513002Z,252
2025-01-06T04:17:09.501698907Z,252
2025-01-06T04:17:19.693838419Z,252
2025-01-06T04:17:29.882122147Z,252
2025-01-06T04:17:40.071869864Z,251
2025-01-06T04:17:50.263899592Z,251
2025-01-06T04:18:00.45266511Z,251
2025-01-06T04:18:10.640808839Z,251
2025-01-06T04:18:20.833598135Z,251
2025-01-06T04:18:31.024463576Z,251
2025-01-06T04:18:41.211275543Z,249
2025-01-06T04:18:51.410221071Z,249
2025-01-06T04:19:01.590910745Z,249
2025-01-06T04:19:11.778639311Z,249
2025-01-06T04:19:21.970866857Z,249
2025-01-06T04:19:32.162048755Z,249
2025-01-06T04:19:42.349139251Z,249
2025-01-06T04:19:52.542755215Z,249
2025-01-06T04:20:02.728712391Z,249
2025-01-06T04:20:12.920583862Z,247
2025-01-06T04:20:23.113013266Z,247
2025-01-06T04:20:33.299250089Z,247
2025-01-06T04:20:43.488976331Z,247
2025-01-06T04:20:53.677588755Z,247
2025-01-06T04:21:03.865874916Z,247
2025-01-06T04:21:14.05466568Z,247
2025-01-06T04:21:24.245079903Z,247
2025-01-06T04:21:34.434426968Z,247
2025-01-06T04:21:44.635963897Z,247
2025-01-06T04:21:54.82246514Z,247
2025-01-06T04:22:05.012793577Z,246
2025-01-06T04:22:15.193776157Z,246
2025-01-06T04:22:25.388633791Z,246
2025-01-06T04:22:35.576590188Z,246
2025-01-06T04:22:45.768582656Z,246
2025-01-06T04:22:55.955355042Z,246
2025-01-06T04:23:06.149572859Z,246
2025-01-06T04:23:16.334850471Z,246
2025-01-06T04:23:26.523242028Z,247
2025-01-06T04:23:36.712448048Z,246
2025-01-06T04:23:46.899687102Z,246
2025-01-06T04:23:57.091588486Z,246
2025-01-06T04:24:07.281718435Z,246
2025-01-06T04:24:17.475597348Z,246
2025-01-06T04:24:27.661735588Z,246
2025-01-06T04:24:37.85226857Z,246
2025-01-06T04:24:48.041872832Z,246
2025-01-06T04:24:58.236924988Z,246
2025-01-06T04:25:08.424417424Z,246
2025-01-06T04:25:18.612563139Z,246
2025-01-06T04:25:28.803674041Z,246
2025-01-06T04:25:38.995245233Z,246
2025-01-06T04:25:49.184765165Z,246
2025-01-06T04:25:59.376364082Z,246
2025-01-06T04:26:09.566701794Z,246
2025-01-06T04:26:19.755832548Z,244
2025-01-06T04:26:29.948501825Z,246
2025-01-06T04:26:40.136928783Z,244
2025-01-06T04:26:50.324650675Z,244
2025-01-06T04:27:00.517168167Z,244
2025-01-06T04:27:10.708651763Z,244
2025-01-06T04:27:20.899949201Z,244
